0,decCSV,100000000,priceAsset,WAVES,pairString,Waves / BTC,topRow,5,lowSellRow,34
1,retraceCSV,1,amountAsset,8LQW8f7P5d5PZM7GtZEBgaqRPGSzS3DfPuiXrURJ4AJS,pairName,btc_waves,bottomRow,80,hiBuyRow,36
2,initialLowerVol,initialUpperVol,multiPegVol,,,,,,harvestFactor,1.1
3,0.037856721,423.97,,,,,,,harvestCounter,0
4,1-price,2-priceVol,3-amountVol,4-orderID,5-pillarId,6-initVol,7-initCost,8-,9-,10-
5,0.000889,19.5,0.0173355,,,19.5,0.004698,,,
6,0.000789,19,0.014991,,,19,0.004698,,,
7,0.000689,18.75,0.01291875,,,18.75,0.004698,,,
8,0.000589,18.25,0.01074925,,,18.25,0.004698,,,
9,0.000489,18,0.008802,,,18,0.004698,,,
10,0.00044,17.75,0.00781,,,17.75,0.004698,,,
11,0.000424,17.5,0.00742,,,17.5,0.004698,,,
12,0.000389,17.25,0.00671025,,,17.25,0.004698,,,
13,0.000324,17,0.005508,,,17,0.004698,,,
14,0.000249,16.66,0.00414834,,,16.66,0.00231565,,,
15,0.000217,16.33,0.00354361,,,16.33,0.00231565,,,
16,0.000207,16.08,0.00332856,,,16.08,,,,
17,0.000197,15.75,0.00310275,,,15.75,,,,
18,0.000187,15.33,0.00286671,,,15.33,0.00231565,,,
19,0.0001677,15.1,0.00253227,,,15.1,0.00231565,,,
20,0.0001623,14.75,0.002393925,,,14.75,0.00231565,,,
21,0.0001591,14.5,0.00230695,,,14.5,0.00231565,,,
22,0.0001557,14.2,0.00221094,,,14.2,0.00221094,,,
23,0.0001523,13.75,0.002094125,,,13.75,0.002094125,,,
24,0.0001491,13.5,0.00201285,,,13.5,0.00201285,,,
25,0.0001457,13.25,0.001930525,,,13.25,0.001930525,,,
26,0.0001423,12.75,0.001814325,,,12.75,,,,
27,0.0001391,12.33,0.001715103,,,12.33,0.001715103,,,
28,0.0001357,12,0.0016284,,,12,0.0016284,,,
29,0.0001323,11.66,0.001542618,,,11.66,,,,
30,0.0001291,11.33,0.001462703,,,11.33,0.001462703,,,
31,0.0001257,11,0.0013827,,,11,0.0013827,,,
32,0.0001223,10.7,0.00130861,,,10.7,,,,
33,0.0001194,10.5,0.0012537,,,10.5,0.0012537,,,
34,0.0001147,10.33,0.001184851,,,10.33,0.001184851,,,
35,0.0001122,10.4,0.00116688,market,,10.4,0.00116688,,,
36,0.0001094,10.5,0.0011487,,,10.5,0.0011487,,,
37,0.0001071,10.6,0.00113526,,,10.6,0.00113526,,,
38,0.0001047,10.7,0.00112029,,,10.7,0.00112029,,,
39,0.0001022,10.8,0.00110376,,,10.8,0.00110376,,,
40,0.0000994,10.9,0.00108346,,,10.9,0.00108346,,,
41,0.000097,11,0.001067,,,11,0.001067,,,
42,0.0000947,11.2,0.00106064,,,11.2,0.00106064,,,
43,0.0000922,11.3,0.00104186,,,11.3,0.00104186,,,
44,0.0000894,11.63,0.001039722,,,11.63,0.001039722,,,
45,0.000087,11.96,0.00104052,,,11.96,0.00104052,,,
46,0.0000847,12.29,0.001040963,,,12.29,0.001040963,,,
47,0.0000822,12.62,0.001037364,,,12.62,0.001037364,,,
48,0.0000794,12.95,0.00102823,,,12.95,0.00102823,,,
49,0.000077,13.28,0.00102256,,,13.28,0.00102256,,,
50,0.0000747,13.61,0.001016667,,,13.61,0.001016667,,,
51,0.0000722,13.94,0.001006468,,,13.94,0.001006468,,,
52,0.0000694,14.27,0.000990338,,,14.27,0.000990338,,,
53,0.000067,14.6,0.0009782,,,14.6,0.0009782,,,
54,0.0000647,14.93,0.000965971,,,14.93,0.000965971,,,
55,0.0000622,15.26,0.000949172,,,15.26,0.000949172,,,
56,0.0000594,15.59,0.000926046,,,15.59,0.000926046,,,
57,0.000057,15.92,0.00090744,,,15.92,0.00090744,,,
58,0.0000547,16.25,0.000888875,,,16.25,0.000888875,,,
59,0.0000522,16.58,0.000865476,,,16.58,0.000865476,,,
60,0.0000494,16.91,0.000835354,,,16.91,0.000835354,,,
61,0.000047,17.24,0.00081028,,,17.24,0.00081028,,,
62,0.0000447,17.57,0.000785379,,,17.57,0.000785379,,,
63,0.0000422,17.9,0.00075538,,,17.9,0.00075538,,,
64,0.0000394,18.23,0.000718262,,,18.23,0.000718262,,,
65,0.000037,18.56,0.00068672,,,18.56,0.00068672,,,
66,0.0000347,18.89,0.000655483,,,18.89,0.000655483,,,
67,0.0000322,19.22,0.000618884,,,19.22,0.000618884,,,
68,0.0000294,19.55,0.00057477,,,19.55,0.00057477,,,
69,0.000027,19.88,0.00053676,,,19.88,0.00053676,,,
70,0.0000247,20.21,0.000499187,,,20.21,0.000499187,,,
71,0.0000222,20.54,0.000455988,,,20.54,0.000455988,,,
72,0.0000194,20.87,0.000404878,,,20.87,0.000404878,,,
73,0.000017,21.2,0.0003604,,,21.2,0.0003604,,,
74,0.0000147,21.53,0.000316491,,,21.53,0.000316491,,,
75,0.0000122,21.86,0.000266692,,,21.86,0.000266692,,,
76,0.0000094,22.19,0.000208586,,,22.19,0.000208586,,,
77,0.000007,22.52,0.00015764,,,22.52,0.00015764,,,
78,0.0000047,19.7,0.00009259,,,19.7,0.00009259,,,
79,0.0000022,20.22,0.000044484,,,20.22,0.000044484,,,
80,0.0000001,21,0.0000021,,,21,0.0000021,,,
